id,make,explosion,moc,sensor,display,model,remark,pressure_range
1,Sanyata,N/A,Al,Mechanical - SPDT,"""Green Open"," Red Close""",SB-WP-A-A-MHW1-2-2-S,IP 66 / IP 68
2,Sanyata,N/A,Al,Proximity-Inductive NJ2V3N,"""Green Open"," Red Close""",SB-WP-A-A-FPF1-2-2-S,IP 66 / IP 68
3,Sanyata,N/A,Al,Proximity-Inductive NBB3-V3-Z4,"""Green Open"," Red Close""",SB-WP-A-A-FPF2-2-2-S,IP 66 / IP 68
4,Sanyata,Exd,Al,Mechanical - SPDT,"""Green Open"," Red Close""",SB-EX-A-A-MHW1-2-2-S,IP 66 / IP 68
5,Sanyata,Exd,Al,Proximity-Inductive NJ2V3N,"""Green Open"," Red Close""",SB-EX-A-A-FPF1-2-2-S,IP 66 / IP 68
6,Sanyata,Exd,Al,Proximity-Inductive NBB3-V3-Z4,"""Green Open"," Red Close""",SB-EX-A-A-FPF2-2-2-S,IP 66 / IP 68
7,Topworx,Exia,Al,Mechanical,Flat Top,TVL-M20FLMM,IP 66 / IP 68,"0"
8,Topworx,Exia,Al,Proximity-Inductive NJ2V3N,Flat Top,TVL-E20FLMM,IP 66 / IP 68,"0"
9,Topworx,Exia,Al,Proximity-Inductive NJ2V3N,"""Green Open"," Red Close""",TVL-E20GLMM,IP 66 / IP 68
10,Topworx,Exia,Al,Proximity-Switches,Flat Top,TVL-P20FLMM,IP 66 / IP 68,1
11,Sanyata,N/A,Al,Mechanical - SPDT,"""Green Open"," Red Close""",SB-WP-A-A-MHW1-2-2-S,IP 66 / IP 68
12,Sanyata,N/A,Al,Proximity-Inductive NJ2V3N,"""Green Open"," Red Close""",SB-WP-A-A-FPF1-2-2-S,IP 66 / IP 68
13,Sanyata,N/A,Al,Proximity-Inductive NBB3-V3-Z4,"""Green Open"," Red Close""",SB-WP-A-A-FPF2-2-2-S,IP 66 / IP 68
14,Sanyata,Exd,Al,Mechanical - SPDT,"""Green Open"," Red Close""",SB-EX-A-A-MHW1-2-2-S,IP 66 / IP 68
15,Sanyata,Exd,Al,Proximity-Inductive NJ2V3N,"""Green Open"," Red Close""",SB-EX-A-A-FPF1-2-2-S,IP 66 / IP 68
16,Sanyata,Exd,Al,Proximity-Inductive NBB3-V3-Z4,"""Green Open"," Red Close""",SB-EX-A-A-FPF2-2-2-S,IP 66 / IP 68
17,Topworx,Exia,Al,Mechanical,Flat Top,TVL-M20FLMM,IP 66 / IP 68,"0"
18,Topworx,Exia,Al,Proximity-Inductive NJ2V3N,Flat Top,TVL-E20FLMM,IP 66 / IP 68,"0"
19,Topworx,Exia,Al,Proximity-Inductive NJ2V3N,"""Green Open"," Red Close""",TVL-E20GLMM,IP 66 / IP 68
20,Topworx,Exia,Al,Proximity-Switches,Flat Top,TVL-P20FLMM,IP 66 / IP 68,"0"
21,ABCS,ABCDS,AI,New,Flat Top,TVVV-22,IP 66 / IP 68,1
